"","contrast","estimate","SE","df","t.ratio","p.value"
"33","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - What management mechanisms are used Elicit",-0.45454545454539,0.699780057532606,332750.024797879,-0.649554741739994,1
"34","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (Which groups of people are involved in the management as part of the CBFM case-studies Elicit)",-0.424242424243227,0.69978005753252,332750.024806074,-0.606251092291969,1
"35","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (What benefits of Community-Based Fisheries Management are reported in this case study Elicit)",-1.24242424242484,0.699780057532493,332750.024806074,-1.77544962742404,0.998073950170849
"36","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - What are the indicators of success of CBFM Elicit",-1.06060606060665,0.699780057532494,332750.024806074,-1.51562773072796,0.999908027899046
"37","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - How was the data on benefits collected Elicit",-0.212121212121212,0.164818905853913,1024.00000000008,-1.28699563331178,0.999997281684549
"38","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (What are the reported barriers to success of Community-Based Fisheries Management Elicit)",-0.484848484849289,0.69978005753252,332750.024806074,-0.692858391190659,1
"39","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - Guidelines for future implementation of CBFM Elicit",-0.515151515151451,0.699780057532606,332750.024797879,-0.736162040638672,0.999999999999399
"40","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - How does the community monitor the system they are managing Elicit",-0.0606060606068632,0.69978005753252,332750.024806074,-0.0866072988998358,1
"41","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - How does the community make decisions Elicit",-1.09090909090968,0.699780057532494,332750.024806074,-1.55893138017731,0.999835885704216
"42","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - Which country was the study conducted in GPT4x1",-0.545454545454547,0.164818905853913,1024,-3.30941734280175,0.218164761277614
"43","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x1)",6.10622663543836e-15,0.164818905853913,1024.00000000008,3.7048095931729e-14,1
"44","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - What management mechanisms are used GPT4x1",0.3333333333334,0.699780057532607,332750.024797879,0.476340143942824,1
"45","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x1)",-8.00193244998582e-13,0.699780057532518,332750.024806074,-1.14349249651402e-12,1
"46","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x1)",-0.515151515152104,0.699780057532493,332750.024806074,-0.736162040639724,0.999999999999399
"47","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - What are the indicators of success of CBFM GPT4x1",-0.303030303030892,0.699780057532493,332750.024806074,-0.433036494494302,1
"48","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - How was the data on benefits collected GPT4x1",-0.151515151515145,0.164818905853913,1024,-0.919282595222669,0.999999999501753
"49","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x1)",0.0909090909082907,0.699780057532519,332750.024806074,0.12991094834689,1
"50","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - Guidelines for future implementation of CBFM GPT4x1",-0.272727272727206,0.699780057532607,332750.024806074,-0.389732845043956,1
"51","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - How does the community monitor the system they are managing GPT4x1",0.151515151514351,0.699780057532518,332750.024806074,0.216518247245579,1
"52","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - How does the community make decisions GPT4x1",-0.636363636364225,0.699780057532493,332750.024806074,-0.909376638437109,0.999999999686976
"53","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - Which country was the study conducted in GPT4x3",-1,0.164818905853912,1023.99999999993,-6.06726512846988,9.53623790933555e-07
"54","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x3)",0.0909090909090972,0.164818905853913,1024.00000000008,0.551569557133661,1
"55","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - What management mechanisms are used GPT4x3",0.0909090909091577,0.699780057532608,332750.024806074,0.129910948348112,1
"56","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x3)",-0.0606060606068607,0.699780057532518,332750.024806074,-0.0866072988998324,1
"57","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x3)",-0.848484848485437,0.699780057532493,332750.024806074,-1.21250218458253,0.999999423873422
"58","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - What are the indicators of success of CBFM GPT4x3",-0.545454545455134,0.699780057532493,332750.024806074,-0.779465690089071,0.999999999995988
"59","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - How was the data on benefits collected GPT4x3",-0.151515151515145,0.164818905853913,1024.00000000008,-0.919282595222669,0.999999999501753
"60","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x3)",-0.121212121212921,0.699780057532519,332750.024806074,-0.173214597798521,1
"61","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - Guidelines for future implementation of CBFM GPT4x3",-0.484848484848418,0.699780057532607,332750.024806074,-0.692858391189329,1
"62","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - How does the community monitor the system they are managing GPT4x3",0.151515151514351,0.699780057532518,332750.024806074,0.216518247245579,1
"63","(Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit) - How does the community make decisions GPT4x3",-0.757575757576346,0.699780057532492,332750.024806074,-1.08259123623449,0.999999966768656
"64","What management mechanisms are used Elicit - (Which groups of people are involved in the management as part of the CBFM case-studies Elicit)",0.0303030303021626,0.699780057532469,332750.024773294,0.0433036494481077,1
"65","What management mechanisms are used Elicit - (What benefits of Community-Based Fisheries Management are reported in this case study Elicit)",-0.787878787879445,0.699780057532459,332750.024773294,-1.12589488568399,0.999999909193028
"66","What management mechanisms are used Elicit - What are the indicators of success of CBFM Elicit",-0.606060606061263,0.69978005753246,332750.024773294,-0.866072988987902,0.99999999991923
"67","What management mechanisms are used Elicit - How was the data on benefits collected Elicit",0.242424242424178,0.699780057532606,332750.024797879,0.346429195594621,1
"68","What management mechanisms are used Elicit - (What are the reported barriers to success of Community-Based Fisheries Management Elicit)",-0.0303030303038986,0.699780057532469,332750.024773294,-0.0433036494505884,1
"69","What management mechanisms are used Elicit - Guidelines for future implementation of CBFM Elicit",-0.0606060606060607,0.164818905853912,1024,-0.367713038089084,1
"70","What management mechanisms are used Elicit - How does the community monitor the system they are managing Elicit",0.393939393938527,0.699780057532469,332750.024773294,0.562947442840279,1
"71","What management mechanisms are used Elicit - How does the community make decisions Elicit",-0.636363636364294,0.69978005753246,332750.024773294,-0.909376638437251,0.999999999686976
"72","What management mechanisms are used Elicit - Which country was the study conducted in GPT4x1",-0.090909090909157,0.699780057532607,332750.024797879,-0.129910948348111,1
"73","What management mechanisms are used Elicit - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x1)",0.454545454545396,0.699780057532605,332750.024797879,0.649554741740003,1
"74","What management mechanisms are used Elicit - What management mechanisms are used GPT4x1",0.78787878787879,0.164818905853913,1023.99999999993,4.78026949515808,0.000944238487108229
"75","What management mechanisms are used Elicit - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x1)",0.45454545454459,0.699780057532467,332750.024773294,0.649554741738979,1
"76","What management mechanisms are used Elicit - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x1)",-0.0606060606067137,0.699780057532459,332750.024773294,-0.0866072988996296,1
"77","What management mechanisms are used Elicit - What are the indicators of success of CBFM GPT4x1",0.151515151514498,0.699780057532459,332750.024773294,0.216518247245808,1
"78","What management mechanisms are used Elicit - How was the data on benefits collected GPT4x1",0.303030303030244,0.699780057532605,332750.024797879,0.433036494493307,1
"79","What management mechanisms are used Elicit - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x1)",0.545454545453681,0.699780057532468,332750.024773294,0.779465690087022,0.999999999995988
"80","What management mechanisms are used Elicit - Guidelines for future implementation of CBFM GPT4x1",0.181818181818184,0.164818905853912,1024,1.10313911426726,0.999999937771574
"81","What management mechanisms are used Elicit - How does the community monitor the system they are managing GPT4x1",0.606060606059741,0.699780057532467,332750.024773294,0.866072988985717,0.99999999991923
"82","What management mechanisms are used Elicit - How does the community make decisions GPT4x1",-0.181818181818835,0.699780057532459,332750.024773294,-0.259821896697022,1
"83","What management mechanisms are used Elicit - Which country was the study conducted in GPT4x3",-0.545454545454613,0.699780057532607,332750.024797879,-0.779465690088198,0.999999999995988
"84","What management mechanisms are used Elicit - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x3)",0.545454545454487,0.699780057532605,332750.024797879,0.779465690088021,0.999999999995988
"85","What management mechanisms are used Elicit - What management mechanisms are used GPT4x3",0.545454545454548,0.164818905853913,1023.99999999993,3.30941734280175,0.218164761277612
"86","What management mechanisms are used Elicit - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x3)",0.393939393938529,0.699780057532467,332750.024773294,0.562947442840284,1
"87","What management mechanisms are used Elicit - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x3)",-0.393939393940047,0.699780057532459,332750.024773294,-0.56294744284246,1
"88","What management mechanisms are used Elicit - What are the indicators of success of CBFM GPT4x3",-0.0909090909097439,0.699780057532459,332750.024773294,-0.129910948348978,1
"89","What management mechanisms are used Elicit - How was the data on benefits collected GPT4x3",0.303030303030244,0.699780057532605,332750.024797879,0.433036494493307,1
"90","What management mechanisms are used Elicit - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x3)",0.333333333332469,0.699780057532467,332750.024773294,0.476340143941589,1
"91","What management mechanisms are used Elicit - Guidelines for future implementation of CBFM GPT4x3",-0.0303030303030282,0.164818905853912,1023.99999999993,-0.183856519044529,1
"92","What management mechanisms are used Elicit - How does the community monitor the system they are managing GPT4x3",0.606060606059741,0.699780057532467,332750.024773294,0.866072988985717,0.99999999991923
"93","What management mechanisms are used Elicit - How does the community make decisions GPT4x3",-0.303030303030956,0.699780057532459,332750.024773294,-0.433036494494415,1
"94","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (What benefits of Community-Based Fisheries Management are reported in this case study Elicit)",-0.818181818181608,0.699780057532551,332750.024773294,-1.16919853513195,0.999999765261791
"95","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - What are the indicators of success of CBFM Elicit",-0.636363636363426,0.699780057532551,332750.024773294,-0.909376638435891,0.999999999686976
"96","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - How was the data on benefits collected Elicit",0.212121212122016,0.69978005753252,332750.024806074,0.303125546146559,1
"97","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (What are the reported barriers to success of Community-Based Fisheries Management Elicit)",-0.0606060606060612,0.164818905853913,1024.00000000008,-0.367713038089086,1
"98","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - Guidelines for future implementation of CBFM Elicit",-0.0909090909082233,0.699780057532469,332750.024773294,-0.129910948346803,1
"99","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - How does the community monitor the system they are managing Elicit",0.363636363636364,0.164818905853912,1024,2.2062782285345,0.950115818993177
"100","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - How does the community make decisions Elicit",-0.666666666666457,0.699780057532551,332750.024773294,-0.952680287885235,0.999999998881955
"101","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - Which country was the study conducted in GPT4x1",-0.12121212121132,0.699780057532519,332750.024806074,-0.173214597796232,1
"102","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x1)",0.424242424243233,0.699780057532519,332750.024806074,0.606251092291979,1
"103","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - What management mechanisms are used GPT4x1",0.757575757576627,0.69978005753247,332750.024773294,1.08259123623493,0.999999966768656
"104","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x1)",0.424242424242427,0.164818905853913,1024.00000000008,2.57399126662359,0.770601171440811
"105","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x1)",-0.0909090909088763,0.69978005753255,332750.024773294,-0.129910948347721,1
"106","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - What are the indicators of success of CBFM GPT4x1",0.121212121212336,0.69978005753255,332750.024773294,0.173214597797677,1
"107","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - How was the data on benefits collected GPT4x1",0.272727272728082,0.699780057532519,332750.024806074,0.389732845045257,1
"108","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x1)",0.515151515151518,0.164818905853913,1024.00000000008,3.12556082375721,0.333986342190702
"109","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - Guidelines for future implementation of CBFM GPT4x1",0.151515151516021,0.69978005753247,332750.024773294,0.216518247247981,1
"110","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - How does the community monitor the system they are managing GPT4x1",0.575757575757579,0.164818905853912,1024,3.49327386184631,0.133245215240057
"111","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - How does the community make decisions GPT4x1",-0.212121212120998,0.69978005753255,332750.024773294,-0.303125546145091,1
"112","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - Which country was the study conducted in GPT4x3",-0.575757575756775,0.699780057532519,332750.024806074,-0.822769339536401,0.999999999981265
"113","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x3)",0.515151515152324,0.699780057532519,332750.024806074,0.736162040640013,0.999999999999399
"114","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - What management mechanisms are used GPT4x3",0.515151515152385,0.69978005753247,332750.024773294,0.736162040640151,0.999999999999399
"115","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x3)",0.363636363636367,0.164818905853913,1024.00000000008,2.20627822853451,0.950115818993174
"116","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x3)",-0.42424242424221,0.69978005753255,332750.024773294,-0.606251092290489,1
"117","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - What are the indicators of success of CBFM GPT4x3",-0.121212121211907,0.69978005753255,332750.024773294,-0.173214597797063,1
"118","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - How was the data on benefits collected GPT4x3",0.272727272728082,0.699780057532519,332750.024806074,0.389732845045257,1
"119","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x3)",0.303030303030306,0.164818905853913,1024.00000000008,1.83856519044543,0.996306053539564
"120","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - Guidelines for future implementation of CBFM GPT4x3",-0.0606060606051908,0.69978005753247,332750.024773294,-0.0866072988974521,1
"121","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - How does the community monitor the system they are managing GPT4x3",0.575757575757579,0.164818905853912,1024,3.49327386184631,0.133245215240057
"122","(Which groups of people are involved in the management as part of the CBFM case-studies Elicit) - How does the community make decisions GPT4x3",-0.333333333333118,0.69978005753255,332750.024773294,-0.476340143942461,1
"123","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - What are the indicators of success of CBFM Elicit",0.181818181818182,0.164818905853912,1024.00000000008,1.10313911426725,0.999999937771574
"124","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - How was the data on benefits collected Elicit",1.03030303030362,0.699780057532493,332750.024806074,1.47232408127861,0.999950103659673
"125","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - (What are the reported barriers to success of Community-Based Fisheries Management Elicit)",0.757575757575547,0.699780057532551,332750.024773294,1.08259123623326,0.999999966768656
"126","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - Guidelines for future implementation of CBFM Elicit",0.727272727273385,0.699780057532459,332750.024773294,1.03928758678529,0.999999988541895
"127","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - How does the community monitor the system they are managing Elicit",1.18181818181797,0.699780057532551,332750.024773294,1.68884232852406,0.999220215090219
"128","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - How does the community make decisions Elicit",0.151515151515151,0.164818905853914,1024.00000000008,0.919282595222697,0.999999999501753
"129","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - Which country was the study conducted in GPT4x1",0.696969696970288,0.699780057532492,332750.024806074,0.995983937335806,0.99999999629452
"130","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x1)",1.24242424242484,0.699780057532492,332750.024806074,1.77544962742405,0.998073950170849
"131","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - What management mechanisms are used GPT4x1",1.57575757575824,0.69978005753246,332750.024773294,2.25178977136704,0.937943495333084
"132","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x1)",1.24242424242404,0.69978005753255,332750.024773294,1.77544962742275,0.998073950170874
"133","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x1)",0.727272727272732,0.164818905853913,1024.00000000008,4.41255645706901,0.00488987615735925
"134","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - What are the indicators of success of CBFM GPT4x1",0.939393939393944,0.164818905853912,1024,5.69955209038081,8.08568833232659e-06
"135","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - How was the data on benefits collected GPT4x1",1.09090909090969,0.699780057532492,332750.024806074,1.55893138017732,0.999835885704216
"136","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x1)",1.33333333333313,0.699780057532549,332750.024773294,1.90536057577078,0.99373861537569
"137","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - Guidelines for future implementation of CBFM GPT4x1",0.969696969697629,0.69978005753246,332750.024773294,1.38571678238008,0.999986773246304
"138","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - How does the community monitor the system they are managing GPT4x1",1.39393939393919,0.699780057532549,332750.024773294,1.99196787466946,0.987638072278982
"139","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - How does the community make decisions GPT4x1",0.60606060606061,0.164818905853914,1024,3.67713038089082,0.0764850275677867
"140","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - Which country was the study conducted in GPT4x3",0.242424242424833,0.699780057532492,332750.024806074,0.346429195595613,1
"141","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x3)",1.33333333333393,0.699780057532492,332750.024806074,1.90536057577209,0.993738615375622
"142","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - What management mechanisms are used GPT4x3",1.33333333333399,0.69978005753246,332750.024773294,1.90536057577226,0.993738615375613
"143","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x3)",1.18181818181797,0.69978005753255,332750.024773294,1.68884232852406,0.999220215090219
"144","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x3)",0.393939393939398,0.164818905853913,1024.00000000008,2.39013474757906,0.880817816842989
"145","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - What are the indicators of success of CBFM GPT4x3",0.696969696969701,0.164818905853912,1024.00000000008,4.22869993802448,0.0104478470616316
"146","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - How was the data on benefits collected GPT4x3",1.09090909090969,0.699780057532492,332750.024806074,1.55893138017732,0.999835885704216
"147","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x3)",1.12121212121191,0.699780057532549,332750.024773294,1.60223502962538,0.999716039875385
"148","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - Guidelines for future implementation of CBFM GPT4x3",0.757575757576417,0.69978005753246,332750.024773294,1.08259123623464,0.999999966768656
"149","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - How does the community monitor the system they are managing GPT4x3",1.39393939393919,0.699780057532549,332750.024773294,1.99196787466946,0.987638072278982
"150","(What benefits of Community-Based Fisheries Management are reported in this case study Elicit) - How does the community make decisions GPT4x3",0.48484848484849,0.164818905853914,1024,2.94170430471267,0.475788804733287
"151","What are the indicators of success of CBFM Elicit - How was the data on benefits collected Elicit",0.848484848485442,0.699780057532494,332750.024806074,1.21250218458254,0.999999423873422
"152","What are the indicators of success of CBFM Elicit - (What are the reported barriers to success of Community-Based Fisheries Management Elicit)",0.575757575757365,0.699780057532551,332750.024773294,0.822769339537206,0.999999999981265
"153","What are the indicators of success of CBFM Elicit - Guidelines for future implementation of CBFM Elicit",0.545454545455203,0.69978005753246,332750.024773294,0.779465690089206,0.999999999995988
"154","What are the indicators of success of CBFM Elicit - How does the community monitor the system they are managing Elicit",0.99999999999979,0.699780057532551,332750.024773294,1.429020431828,0.999973841543332
"155","What are the indicators of success of CBFM Elicit - How does the community make decisions Elicit",-0.0303030303030306,0.164818905853913,1024.00000000008,-0.183856519044543,1
"156","What are the indicators of success of CBFM Elicit - Which country was the study conducted in GPT4x1",0.515151515152106,0.699780057532493,332750.024806074,0.736162040639728,0.999999999999399
"157","What are the indicators of success of CBFM Elicit - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x1)",1.06060606060666,0.699780057532492,332750.024806074,1.51562773072797,0.999908027899046
"158","What are the indicators of success of CBFM Elicit - What management mechanisms are used GPT4x1",1.39393939394005,0.699780057532461,332750.024773294,1.99196787467095,0.987638072278846
