,contrast,estimate,SE,df,t.ratio,p.value
42,What are the indicators of success of CBFM - (What are the reported barriers to success of Community-Based Fisheries Management),0.464646465,0.660068232,2041890.534,0.703937021,0.999799695
17,(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - Guidelines for future implementation of CBFM,-0.454545455,0.660068232,2041890.534,-0.688634042,0.999835914
38,(What benefits of Community-Based Fisheries Management are reported in this case study) - Guidelines for future implementation of CBFM,0.444444444,0.660068232,2041890.534,0.673331063,0.999866302
54,Guidelines for future implementation of CBFM - How does the community make decisions,-0.404040404,0.660068232,2041890.534,-0.612119149,0.999944414
5,Which country was the study conducted in - What are the indicators of success of CBFM,0.272727273,0.660068232,2041890.534,0.413180425,0.99999867
40,(What benefits of Community-Based Fisheries Management are reported in this case study) - How does the community make decisions,0.04040404,0.09930329,1046,0.406875143,0.999998834
32,(Which groups of people are involved in the management as part of the CBFM case-studies) - Guidelines for future implementation of CBFM,-0.262626263,0.660068232,2041890.534,-0.397877447,0.999999077
47,How was the data on benefits collected - Guidelines for future implementation of CBFM,-0.252525253,0.660068232,2041890.534,-0.382574468,0.999999369
48,How was the data on benefits collected - How does the community monitor the system they are managing,0.252525253,0.660068232,2041890.534,0.382574468,0.999999369
50,(What are the reported barriers to success of Community-Based Fisheries Management) - Guidelines for future implementation of CBFM,-0.252525253,0.660068232,2041890.534,-0.382574468,0.999999369
43,What are the indicators of success of CBFM - Guidelines for future implementation of CBFM,0.212121212,0.660068232,2041890.534,0.321362553,0.999999885
16,(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - (What are the reported barriers to success of Community-Based Fisheries Management),-0.202020202,0.660068232,2041890.534,-0.306059574,0.999999929
12,(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - (Which groups of people are involved in the management as part of the CBFM case-studies),-0.191919192,0.660068232,2041890.534,-0.290756596,0.999999957
23,What management mechanisms are used - How was the data on benefits collected,-0.161616162,0.660068232,2041890.534,-0.244847659,0.999999992
24,What management mechanisms are used - (What are the reported barriers to success of Community-Based Fisheries Management),-0.161616162,0.660068232,2041890.534,-0.244847659,0.999999992
20,What management mechanisms are used - (Which groups of people are involved in the management as part of the CBFM case-studies),-0.151515152,0.660068232,2041890.534,-0.229544681,0.999999996
26,What management mechanisms are used - How does the community monitor the system they are managing,0.090909091,0.660068232,2041890.534,0.137726808,1
10,Which country was the study conducted in - How does the community make decisions,0.080808081,0.660068232,2041890.534,0.12242383,1
31,(Which groups of people are involved in the management as part of the CBFM case-studies) - (What are the reported barriers to success of Community-Based Fisheries Management),-0.01010101,0.09930329,1046,-0.101718786,1
4,Which country was the study conducted in - (What benefits of Community-Based Fisheries Management are reported in this case study),0.04040404,0.660068232,2041890.534,0.061211915,1
11,(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - What management mechanisms are used,-0.04040404,0.660068232,2041890.534,-0.061211915,1
18,(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - How does the community monitor the system they are managing,0.050505051,0.660068232,2041890.534,0.076514894,1
30,(Which groups of people are involved in the management as part of the CBFM case-studies) - How was the data on benefits collected,-0.01010101,0.660068232,2041890.534,-0.015302979,1
46,How was the data on benefits collected - (What are the reported barriers to success of Community-Based Fisheries Management),2.11E-13,0.660068232,2041890.534,3.20E-13,1
