contrast,estimate,SE,df,z.ratio,p.value
(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - Guidelines for future implementation of CBFM,-0.141663415,0.049790365,Inf,-2.845197361,0.141173707
(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - How does the community monitor the system they are managing,0.132294668,0.048383867,Inf,2.734272318,0.184498678
What management mechanisms are used - (Which groups of people are involved in the management as part of the CBFM case-studies),0.132543942,0.049785571,Inf,2.662296314,0.21721016
How was the data on benefits collected - (What are the reported barriers to success of Community-Based Fisheries Management),-0.128648093,0.048383867,Inf,-2.658904729,0.218842138
(Which groups of people are involved in the management as part of the CBFM case-studies) - How was the data on benefits collected,-0.122193658,0.048383867,Inf,-2.525504175,0.289405435
(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - (What benefits of Community-Based Fisheries Management are reported in this case study),-0.119387628,0.048383867,Inf,-2.46750902,0.323797669
What management mechanisms are used - (What are the reported barriers to success of Community-Based Fisheries Management),-0.118297809,0.049785571,Inf,-2.376146482,0.382028286
(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - What are the indicators of success of CBFM,0.107885099,0.048383867,Inf,2.229774215,0.483321752
What management mechanisms are used - How does the community make decisions,0.099716864,0.049785571,Inf,2.002927003,0.646979488
(Which groups of people are involved in the management as part of the CBFM case-studies) - What are the indicators of success of CBFM,-0.091749636,0.048378908,Inf,-1.896480119,0.719893945
How was the data on benefits collected - How does the community make decisions,0.089366581,0.048383867,Inf,1.847032618,0.751748806
(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - How was the data on benefits collected,0.077441077,0.042036957,Inf,1.84221416,0.754769513
(What are the reported barriers to success of Community-Based Fisheries Management) - Guidelines for future implementation of CBFM,-0.0904564,0.049785571,Inf,-1.816920006,0.770363965
(Which groups of people are involved in the management as part of the CBFM case-studies) - How does the community monitor the system they are managing,-0.067340067,0.042036957,Inf,-1.601925357,0.881997679
(What benefits of Community-Based Fisheries Management are reported in this case study) - (What are the reported barriers to success of Community-Based Fisheries Management),0.068180613,0.048378908,Inf,1.409304514,0.946472129
What are the indicators of success of CBFM - How does the community make decisions,0.058922559,0.042036957,Inf,1.401684687,0.948350243
(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - What management mechanisms are used,0.067090794,0.049790365,Inf,1.347465394,0.960374463
What management mechanisms are used - How does the community monitor the system they are managing,0.065203874,0.049785571,Inf,1.309694221,0.967439805
How was the data on benefits collected - How does the community monitor the system they are managing,0.054853591,0.048383867,Inf,1.133716549,0.988711732
(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - (What are the reported barriers to success of Community-Based Fisheries Management),-0.051207015,0.048383867,Inf,-1.05834896,0.993405579
What management mechanisms are used - What are the indicators of success of CBFM,0.040794305,0.049785571,Inf,0.819400172,0.99922576
How does the community monitor the system they are managing - How does the community make decisions,0.03451299,0.048378908,Inf,0.713389191,0.999774019
(Which groups of people are involved in the management as part of the CBFM case-studies) - How does the community make decisions,-0.032827078,0.048378908,Inf,-0.678541107,0.999856558
What are the indicators of success of CBFM - How was the data on benefits collected,-0.030444022,0.048383867,Inf,-0.629218446,0.99992826
What are the indicators of success of CBFM - How does the community monitor the system they are managing,0.024409569,0.048378908,Inf,0.50454982,0.999990964
(What benefits of Community-Based Fisheries Management are reported in this case study) - Guidelines for future implementation of CBFM,-0.022275787,0.049785571,Inf,-0.447434596,0.999997135
What management mechanisms are used - How was the data on benefits collected,0.010350284,0.049790365,Inf,0.207877241,0.999999998
