"","Citation","AI","Question","Criteria","Agent","Flag","group_agent","value","Reviewer","Difficulty","Extractor"
"24","__Community-based management of subsistence fisherie","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"3"
"25","__Community-based management of subsistence fisherie","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",2,"3"
"26","__Community-based management of subsistence fisherie","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"3"
"27","__Community-based management of subsistence fisherie","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",2,"3"
"28","__Community-based management of subsistence fisherie","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"3"
"29","__Community-based management of subsistence fisherie","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",2,"3"
"30","__Community-based management of subsistence fisherie","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"3"
"31","__Community-based management of subsistence fisherie","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",1,"3"
"32","__Community-based management of subsistence fisherie","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"3"
"33","__Community-based management of subsistence fisherie","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"3"
"34","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"4"
"35","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"36","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"4"
"37","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",1,"R1",1,"4"
"38","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"4"
"39","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"4"
"40","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",1,"4"
"41","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",2,"R2",1,"4"
"42","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",1,"4"
"43","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",1,"4"
"44","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",1,"4"
"45","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"4"
"46","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"4"
"47","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"4"
"48","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",2,"4"
"49","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R4",2,"4"
"50","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R4",2,"4"
"51","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",2,"4"
"52","__Strengthening post-hoc analysis of community-basedp","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"4"
"53","__Strengthening post-hoc analysis of community-basedp","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"4"
"54","__Strengthening post-hoc analysis of community-basedp","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"4"
"55","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"4"
"56","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"57","__Strengthening post-hoc analysis of community-basedp","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"4"
"58","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",3,"4"
"59","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",3,"4"
"60","__Strengthening post-hoc analysis of community-basedp","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",3,"4"
"61","__Strengthening post-hoc analysis of community-basedp","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"4"
"62","__Strengthening post-hoc analysis of community-basedp","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"63","__Strengthening post-hoc analysis of community-basedp","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"4"
"64","__Strengthening post-hoc analysis of community-basedp","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"4"
"65","__Strengthening post-hoc analysis of community-basedp","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"4"
"66","__Strengthening post-hoc analysis of community-basedp","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"4"
"67","_A network of small community-owned village fish re","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"3"
"68","_A network of small community-owned village fish re","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"3"
"69","_A network of small community-owned village fish re","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"3"
"70","_A network of small community-owned village fish re","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"3"
"71","_A network of small community-owned village fish re","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"3"
"72","_A network of small community-owned village fish re","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"3"
"73","_A network of small community-owned village fish re","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",1,"3"
"74","_A network of small community-owned village fish re","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"3"
"75","_A network of small community-owned village fish re","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",1,"3"
"76","_A network of small community-owned village fish re","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",1,"3"
"77","_A network of small community-owned village fish re","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",1,"3"
"78","_A network of small community-owned village fish re","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",1,"3"
"79","_A network of small community-owned village fish re","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",2,"R4",3,"3"
"80","_A network of small community-owned village fish re","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",3,"3"
"81","_A network of small community-owned village fish re","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",3,"3"
"82","_A network of small community-owned village fish re","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",3,"3"
"83","_A network of small community-owned village fish re","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R4",3,"3"
"84","_A network of small community-owned village fish re","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",3,"3"
"85","_A network of small community-owned village fish re","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",3,"3"
"86","_A network of small community-owned village fish re","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",3,"3"
"87","_A network of small community-owned village fish re","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",3,"3"
"88","_A network of small community-owned village fish re","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",3,"3"
"89","_A network of small community-owned village fish re","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",3,"3"
"90","_A network of small community-owned village fish re","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",3,"3"
"91","_A network of small community-owned village fish re","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",3,"3"
"92","_A network of small community-owned village fish re","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",3,"3"
"93","_A network of small community-owned village fish re","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",3,"3"
"94","_A network of small community-owned village fish re","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",3,"3"
"95","_A network of small community-owned village fish re","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",3,"3"
"96","_A network of small community-owned village fish re","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",3,"3"
"97","_A network of small community-owned village fish re","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",1,"3"
"98","_A network of small community-owned village fish re","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"3"
"99","_A network of small community-owned village fish re","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"3"
"100","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"4"
"101","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"102","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"4"
"103","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",3,"R1",2,"4"
"104","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"4"
"105","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"4"
"106","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",1,"4"
"107","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"4"
"108","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",1,"4"
"109","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"4"
"110","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"111","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",2,"4"
"112","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"4"
"113","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",2,"R4",2,"4"
"114","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",2,"4"
"115","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"4"
"116","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"4"
"117","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"4"
"118","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"4"
"119","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"4"
"120","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"4"
"121","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",3,"4"
"122","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",3,"4"
"123","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",3,"4"
"124","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",2,"4"
"125","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"126","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",2,"4"
"127","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"4"
"128","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",2,"4"
"129","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"4"
"130","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",1,"4"
"131","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"4"
"132","_A SocialaEUREcological Systems Approach to Assessin","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"4"
"133","_Adaptive capacity of marine comanagement a compar","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"5"
"134","_Adaptive capacity of marine comanagement a compar","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"5"
"135","_Adaptive capacity of marine comanagement a compar","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"5"
"136","_Adaptive capacity of marine comanagement a compar","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"5"
"137","_Adaptive capacity of marine comanagement a compar","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",1,"R1",2,"5"
"138","_Adaptive capacity of marine comanagement a compar","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",2,"5"
"139","_Adaptive capacity of marine comanagement a compar","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",2,"5"
"140","_Adaptive capacity of marine comanagement a compar","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"5"
"141","_Adaptive capacity of marine comanagement a compar","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"5"
"142","_Adaptive capacity of marine comanagement a compar","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"5"
"143","_Adaptive capacity of marine comanagement a compar","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",1,"5"
"144","_Adaptive capacity of marine comanagement a compar","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"5"
"145","_Adaptive capacity of marine comanagement a compar","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"5"
"146","_Adaptive capacity of marine comanagement a compar","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"5"
"147","_Adaptive capacity of marine comanagement a compar","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"5"
"148","_Adaptive capacity of marine comanagement a compar","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"5"
"149","_Adaptive capacity of marine comanagement a compar","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"5"
"150","_Adaptive capacity of marine comanagement a compar","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"5"
"151","_Adaptive capacity of marine comanagement a compar","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",1,"R1",1,"5"
"152","_Adaptive capacity of marine comanagement a compar","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"5"
"153","_Adaptive capacity of marine comanagement a compar","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"5"
"154","_Adaptive capacity of marine comanagement a compar","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",2,"R3",1,"5"
"155","_Adaptive capacity of marine comanagement a compar","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",2,"R3",1,"5"
"156","_Adaptive capacity of marine comanagement a compar","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"5"
"157","_Adaptive capacity of marine comanagement a compar","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",3,"5"
"158","_Adaptive capacity of marine comanagement a compar","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",3,"5"
"159","_Adaptive capacity of marine comanagement a compar","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",3,"5"
"160","_Adaptive capacity of marine comanagement a compar","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",3,"R3",1,"5"
"161","_Adaptive capacity of marine comanagement a compar","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",1,"5"
"162","_Adaptive capacity of marine comanagement a compar","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"5"
"163","_Adaptive capacity of marine comanagement a compar","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"5"
"164","_Adaptive capacity of marine comanagement a compar","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"5"
"165","_Adaptive capacity of marine comanagement a compar","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"5"
"166","_Community management yields positive impacts for c","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"4"
"167","_Community management yields positive impacts for c","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"168","_Community management yields positive impacts for c","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"4"
"169","_Community management yields positive impacts for c","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"4"
"170","_Community management yields positive impacts for c","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"4"
"171","_Community management yields positive impacts for c","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"4"
"172","_Community management yields positive impacts for c","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",1,"4"
"173","_Community management yields positive impacts for c","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"4"
"174","_Community management yields positive impacts for c","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",1,"4"
"175","_Community management yields positive impacts for c","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",3,"R3",1,"4"
"176","_Community management yields positive impacts for c","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",1,"4"
